#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 393            -5.68991            -5.55647          0.00920367
                 394             -5.6323            -5.55666          0.00918233
                 395            -5.59972            -5.55677          0.00915973
                 396            -5.59399            -5.55686          0.00913708
                 397            -5.58123            -5.55692          0.00911427
                 398            -5.69338            -5.55727          0.00909781
                 399            -5.65043             -5.5575          0.00907801
                 400             -5.6797            -5.55781          0.00906045
                 401            -5.62292            -5.55797          0.00903931
                 402            -5.51227            -5.55785          0.00901754
                 403            -5.52199            -5.55777           0.0089956
                 404            -5.53657            -5.55771          0.00897349
                 405            -5.68019            -5.55802          0.00895643
                 406            -5.77538            -5.55855          0.00895036
                 407            -5.74342            -5.55901          0.00893988
                 408            -5.65671            -5.55924          0.00892118
                 409            -5.63227            -5.55942          0.00890115
                 410            -5.52873            -5.55935          0.00887976
                 411            -5.60092            -5.55945          0.00885873
                 412            -5.53202            -5.55938          0.00883748
                 413            -5.51125            -5.55927          0.00881685
                 414            -5.52604            -5.55919          0.00879592
                 415            -5.50654            -5.55906          0.00877564
                 416            -5.59546            -5.55915          0.00875498
                 417            -5.57347            -5.55918          0.00873405
                 418               -5.49            -5.55902          0.00871472
                 419            -5.47924            -5.55883            0.008696
                 420            -5.52954            -5.55876          0.00867558
                 421            -5.61284            -5.55888          0.00865592
                 422            -5.47378            -5.55868          0.00863776
                 423            -5.56733             -5.5587          0.00861736
                 424            -5.53934            -5.55866          0.00859716
                 425            -5.44983             -5.5584          0.00858074
                 426            -5.50106            -5.55827          0.00856166
                 427            -5.56326            -5.55828          0.00854161
                 428            -5.52222            -5.55819          0.00852207
                 429            -5.51976             -5.5581          0.00850268
                 430            -5.49349            -5.55795          0.00848423
                 431            -5.49668            -5.55781          0.00846574
                 432            -5.51557            -5.55771          0.00844671
                 433            -5.45821            -5.55748          0.00843032
                 434             -5.5159            -5.55739          0.00841144
                 435            -5.53839            -5.55735          0.00839222
                 436            -5.44174            -5.55708          0.00837716
                 437              -5.598            -5.55717          0.00835851
                 438            -5.53317            -5.55712          0.00833961
                 439             -5.5402            -5.55708           0.0083207
                 440            -5.61628            -5.55721          0.00830288
                 441            -5.61726            -5.55735          0.00828517
                 442            -5.69094            -5.55765          0.00827193
                 443            -5.58783            -5.55772          0.00825354
                 444            -5.63201            -5.55789          0.00823665
                 445            -5.61539            -5.55802          0.00821915
                 446            -5.61985            -5.55816          0.00820189
                 447            -5.62319             -5.5583          0.00818483
                 448            -5.60001            -5.55839          0.00816709
                 449            -5.63874            -5.55857          0.00815087
                 450            -5.70793            -5.55891          0.00813951
                 451            -5.65321            -5.55911          0.00812414
                 452            -5.56905            -5.55914           0.0081062
                 453            -5.53772            -5.55909          0.00808844
                 454            -5.54342            -5.55906           0.0080707
                 455            -5.55334            -5.55904          0.00805297
                 456            -5.52098            -5.55896          0.00803575
                 457            -5.46357            -5.55875          0.00802087
                 458            -5.49239            -5.55861          0.00800467
                 459            -5.55454             -5.5586          0.00798723
                 460            -5.54926            -5.55858           0.0079699
                 461            -5.50648            -5.55846          0.00795341
                 462            -5.59876            -5.55855          0.00793667
                 463             -5.6004            -5.55864          0.00792004
                 464            -5.65329            -5.55884           0.0079056
                 465            -5.54951            -5.55882          0.00788863
                 466            -5.44659            -5.55858          0.00787537
                 467            -5.48684            -5.55843          0.00786001
                 468            -5.49172            -5.55829          0.00784451
                 469            -5.47324            -5.55811          0.00782988
                 470            -5.42508            -5.55782          0.00781833
                 471             -5.4512             -5.5576          0.00780501
                 472            -5.44285            -5.55735          0.00779226
                 473            -5.44965            -5.55713          0.00777911
                 474            -5.55105            -5.55711          0.00776271
                 475              -5.479            -5.55695          0.00774811
                 476            -5.47859            -5.55678          0.00773358
                 477            -5.48071            -5.55662          0.00771901
                 478            -5.53156            -5.55657          0.00770304
                 479             -5.5477            -5.55655          0.00768698
                 480            -5.57126            -5.55658          0.00767103
                 481            -5.54767            -5.55657           0.0076551
                 482            -5.48432            -5.55642          0.00764069
                 483            -5.52597            -5.55635          0.00762513
                 484            -5.56188            -5.55636          0.00760938
                 485            -5.66152            -5.55658          0.00759678
                 486            -5.70476            -5.55689          0.00758726
                 487            -5.62219            -5.55702          0.00757287
                 488            -5.66925            -5.55725          0.00756084
                 489            -5.63193             -5.5574          0.00754692
                 490            -5.56037            -5.55741          0.00753152
                 491            -5.53911            -5.55737          0.00751628
                 492             -5.5144            -5.55728          0.00750151
                 493            -5.46271            -5.55709          0.00748874
                 494            -5.38785            -5.55675          0.00748142
                 495             -5.3871            -5.55641          0.00747415
                 496            -5.37624            -5.55604           0.0074679
                 497            -5.38697             -5.5557          0.00746062
                 498            -5.42327            -5.55544          0.00745038
                 499            -5.53008            -5.55539          0.00743562
                 500            -5.42873            -5.55513          0.00742506
                 501            -5.44923            -5.55492          0.00741325
                 502              -5.538            -5.55489          0.00739856
                 503            -5.62623            -5.55503          0.00738521
                 504            -5.53796              -5.555          0.00737063
                 505            -5.54036            -5.55497           0.0073561
                 506            -5.49757            -5.55485          0.00734243
                 507            -5.50503            -5.55476          0.00732861
                 508              -5.542            -5.55473          0.00731422
                 509            -5.51932            -5.55466          0.00730019
                 510            -5.46256            -5.55448           0.0072881
                 511            -5.48837            -5.55435          0.00727499
                 512            -5.60267            -5.55445          0.00726139
                 513            -5.58332             -5.5545          0.00724746
                 514            -5.58007            -5.55455          0.00723353
                 515            -5.60741            -5.55465          0.00722021
                 516            -5.54522            -5.55464          0.00720624
                 517            -5.51335            -5.55456          0.00719274
                 518            -5.45961            -5.55437          0.00718119
                 519            -5.44922            -5.55417          0.00717021
                 520            -5.51482            -5.55409          0.00715683
                 521            -5.43184            -5.55386          0.00714693
                 522            -5.45185            -5.55366          0.00713591
                 523             -5.4433            -5.55345          0.00712539
                 524             -5.5951            -5.55353          0.00711224
                 525            -5.53099            -5.55349          0.00709882
                 526            -5.50494             -5.5534          0.00708592
                 527            -5.53904            -5.55337          0.00707253
                 528            -5.59753            -5.55345          0.00705963
